Column_or_Row_Name,Unit,Definition,Data_Type,Term_Type,Missing_Value_Code,Reported_Precision
Header_Rows,N/A,"The number of rows or the number of columns that occur before the start of tabular data. This count assumes the numbering begins at 1 (rather than 0), excludes columns or rows that begin with ""#"", and includes the column or row that the header names are on. For example, if the file has columns with variable names but does not have any other metadata header rows, then this value is 1. Most data in this data package is oriented in columns, so this field indicates the number of rows before the start of the data (e.g., If row 1 has the column headers, row 2 has the units, and row 3 has the data values, then this value would be 2 - to indicate the count of the rows prior to the data values).",numeric,column_header,-9999,1
Heteroatom_Class,N/A,"The type of heteroatoms (e.g., oxygen, nitrogen, sulfur, phosphorous) in a formula.",text,column_header,N/A,-9999
HJA_*,N/A,Sample name with rows representing peak intensities reflected as presence absence.,numeric,column_header,-9999,1
HtoC_ratio,N/A,Hydrogen to carbon ratio.,numeric,column_header,-9999,0.0000001
Index,N/A,Index of peak.,numeric,column_header,-9999,1
Ion_Charge,N/A,Charge of the ion. This value is -1 for all  samples because we run our samples using electrospray ionization in the negative mode.,numeric,column_header,-9999,1
Ion_Type,N/A,"Indicates whether a formula was assigned from a given ionization category. This is always ""de-protonated"" because we run our samples using electrospray ionization in the negative mode.",text,column_header,N/A,-9999
Is_Isotopologue,N/A,Indicates whether a formula contains different isotopes of the same atom with 0 indicating it is not an isotopologue and 1 indicating that it is an isotopologue.,numeric,column_header,-9999,1
Isotopologue_Similarity,N/A,Value (0-1) given by CoreMS to evaluate whether an isotopologue matches the mono-isotopic version of the formula with 1 being the closest match.,numeric,column_header,-9999,0.0000001
Join_By_Field,N/A,Field in the specified file that can be used to join with other files. ,text,column_header,N/A,-9999
kdefect.CH2,N/A,"Kendrick Defect = Nominal Kendrick Mass - Kendrick Mass; Hughey et al., 2001.",numeric,column_header,-9999,0.000000001
kmass.CH2,N/A,"(IUPACmass)(14/14.01565); where IUPAC mass is based on the 12C atomic mass as exactly 12 Da. Hughey et al., 2001.",numeric,column_header,-9999,0.0001
lamO2,N/A,Thermodynamic efficiency (defined by lambda) at pH 7. Calculated as per Song et al. (2020).,numeric,column_header,-9999,0.000000001
lamO20,N/A,Thermodynamic efficiency (defined by lambda) at standard state (pH = 0). Calculated as per Song et al. (2020).,numeric,column_header,-9999,0.000000001
Latitude,decimal degrees WGS84,Geographic location (latitude).,numeric,column_header,-9999,0.00001
Longitude,decimal degrees WGS84,Geographic location (longitude).,numeric,column_header,-9999,0.0001
Mass,mass to charge ratio,Measured ionic mass. The units of mass to charge ration is commonly denoted as m/z.,numeric,column_header,-9999,0.00001
Missing_Value_Code,N/A,"Cells with missing data are represented with a missing value code rather than an empty cell. This column describes which missing value codes were used. In most cases, the missing value code for numeric data is ""-9999"" and for character data is ""N/A"". ",text,column_header,N/A,-9999
Molecular_Formula,N/A,"Molecular Formula. This column is a direct output of CoreMS. ""MolForm"" is the same column.",text,column_header,N/A,-9999
MolForm,N/A,"Molecular Formula. Same as ""Molecular_Formula"" column but shortened.",text,column_header,N/A,-9999
Mono_Isotopic_Index,N/A,Reference to the peak index of the mono-isotopic version of an isotopologue.,numeric,column_header,-9999,1
N,N/A,Nitrogen atoms in the analyzed molecule. Identified by an algorithm in Kujawinski and Behn (2006) and modified as described in Tfaily et al. (2017).,numeric,column_header,-9999,1
NOSC,N/A,Nominal Oxidation State of Carbon calculated as per LaRowe and Van Cappellen (2011).,numeric,column_header,-9999,0.00000001
NtoC_ratio,N/A,Nitrogen to Carbon ratio.,numeric,column_header,-9999,0.00000001
NtoP_ratio,N/A,Nitrogen to Phosphorous ratio.,numeric,column_header,-9999,1
O,N/A,Oxygen atoms in the analyzed molecule. Identified by an algorithm in Kujawinski and Behn (2006) and modified as described in Tfaily et al. (2017).,numeric,column_header,-9999,1
OtoC_ratio,N/A,Oxygen to carbon ratio.,numeric,column_header,-9999,0.00000001
P,N/A,Phosphorous atoms in the analyzed molecule. Identified by an algorithm in Kujawinski and Behn (2006) and modified as described in Tfaily et al. (2017).,numeric,column_header,-9999,1
Peak_Area,N/A,Area underneath an assigned peak. We do not calculate this so it is -9999 (missing value used for numeric columns).,numeric,column_header,N/A,-9999
Peak_Height,N/A,"Equivalent to peak intensity (e.g., how big is a peak).",numeric,column_header,-9999,1
PtoC_ratio,N/A,Phosphorus to Carbon ratio.,numeric,column_header,-9999,0.00000001
Reported_Precision,N/A,"Precision of the reported data values. For example, if the values are rounded to 1 decimal place, the precision would be 0.1. Similarly, if a value like 5.24 is reported (rounded to 2 decimal places), its precision would be 0.01.",numeric,column_header,N/A,-9999
Resolving_Power,N/A,Value which describes the instruments capability to distinguish a peak from a different peak given similar mass-to-charge ratios.,numeric,column_header,-9999,0.1
S,N/A,Sulphur atoms in the analyzed molecule. Identified by an algorithm in Kujawinski and Behn (2006) and modified as described in Tfaily et al. (2017).,numeric,column_header,-9999,1
S_N,N/A,Signal-to-noise ratio.,numeric,column_header,-9999,0.01
Sample_Name,N/A,"Name of sample. Individual samples follow the format of HJA_[Site_ID]-[ion accumulation time]. The ""p"" in the IAT indicates the decimal point (i.e. p01 indicates an IAT of 0.1 and 1p2 indicates an IAT of 1.2). ",text,column_header,N/A,-9999
Site_ID,N/A,Site ID.,text,column_header,N/A,-9999
Standard,N/A,ESS-DIVE Reporting Format (https://ess-dive.lbl.gov/data-reporting-formats/) or other standard applied to the data file.,text,column_header,N/A,-9999
Term_Type,N/A,"Indicates how the term is used in the data package (e.g., a column_header, row_header, data_flag, or other variable).",text,column_header,N/A,-9999
Unit,N/A,Unit of measurement that applies to a given column or row in the data package.,text,column_header,N/A,-9999
